"objectid","name","inc_crc","updated_at","geom_4326","geom_3414","x","y"
63789,NIM MEADOW PARK,"53AF2FBC6033238A","20250124001423",POINT (103.86340432365589 1.3786166192909368),POINT (31348.167000035577 40065.95810000423),31348.1669616,40065.95809999
63790,PLATINA RD PG,EAB5E9A3C37BAE42,"20250124001423",POINT (103.82611872435531 1.4275453457323766),POINT (27198.763000033752 45476.22930007954),27198.763,45476.22925031
63791,GOODLINK PK PG,"4604BFD9D2EA9DDA","20250124001423",POINT (103.82539258443619 1.427299606870686),POINT (27117.954300034096 45449.057000079476),27117.9542548,45449.05704998
63792,SPRINGLEAF AVE PG,F4F64A24669D6B76,"20250124001423",POINT (103.82259766879525 1.4009038349812015),POINT (26806.908100032942 42530.34700003762),26806.90808103,42530.34699999
63900,LIMAU VILLAS PG,"8E94701FADC90C06","20250124001423",POINT (103.95051409597892 1.323872450925688),POINT (41042.6953000339 34012.91449991882),41042.69531455,34012.91449999
63901,TURNHOUSE PK,"117048867E0C951B","20250124001423",POINT (103.97897923032566 1.3899035701309008),POINT (44210.148300033165 41314.490400020935),44210.1483,41314.49036638
63902,SENNETT AVE OS,DE2BFFDFF0A311BA,"20250124001423",POINT (103.93933426138598 1.3187872216611933),POINT (39798.51340003306 33450.558999911314),39798.5133648,33450.55899999
63903,JLN LIMAU KASTURI OS,"476A883DC6A2C106","20250124001423",POINT (103.94622771976445 1.3244942567204065),POINT (40565.66050003407 34081.64859992066),40565.6605,34081.64855316
63904,KALLANG RIVERSIDE PK,CFC6A7CB8F5145C7,"20250124001423",POINT (103.86882040608397 1.3077192983519106),POINT (31951.023100034363 32226.501699894605),31951.02306398,32226.50174999
63905,AROOZOO AVE PG,"0D8ED0D79EC01425","20250124001423",POINT (103.88595627294951 1.3551968667413747),POINT (33857.97410003457 37476.36359996818),33857.9740563,37476.36359999
63906,TRAS LINK PK,C0E6845EE1140A98,"20250124001423",POINT (103.84379019866222 1.2764576104325942),POINT (29165.408000033414 28769.719999845922),29165.40803215,28769.71999999
63907,DUXTON PLAIN PK,C4BEB36AFC90B556,"20250124001423",POINT (103.84141929284567 1.2811223325163235),POINT (28901.543400033876 29285.519899852203),28901.5434,29285.51987394
63908,HAZEL PK OS,B1CA2D9C9AB9BA00,"20250124001423",POINT (103.76364488514353 1.37163460470993),POINT (20246.165500034203 39294.014199993086),20246.1655,39294.01420709
63909,HAIG WALK (GEYLANG RD-DUNMAN RD),"01F66710CF475E96","20250124001423",POINT (103.90074024162854 1.3065193220465705),POINT (35503.40870003333 32093.887199891677),35503.40865,32093.88724526
63910,JOO CHIAT TERRACE PK,"8D6AD9FC17D255D5","20250124001423",POINT (103.90169892988682 1.3144083767572998),POINT (35610.07810003362 32966.22179990363),35610.07805,32966.22175716
63911,LORONG SARINA INTERIM PK,"05B6B2D4EE973902","20250124001423",POINT (103.90608246484213 1.3201437219355947),POINT (36097.9053000343 33600.42109991294),36097.90527441,33600.42114999
63912,CHANGI PT FERRY TERMINAL,B7F8A46BDE216D96,"20250124001423",POINT (103.98731252320438 1.3912069094982222),POINT (45137.528900033605 41458.666400023816),45137.52891201,41458.66639999
63913,TANAH MERAH PG,D01095654196FEE6,"20250124001423",POINT (103.94687554887881 1.3290293360899),POINT (40637.73450003477 34583.11869992638),40637.7345,34583.1186865
63914,MARIAM WALK PG,"956C6969EBBCFADB","20250124001423",POINT (103.96854744421532 1.3595473597294396),POINT (43049.41310003449 37957.77659997374),43049.41305,37957.77662228
63915,LOYANG VIEW PG,EFA51AE213A801AA,"20250124001423",POINT (103.96563729241967 1.3630395003065414),POINT (42725.5250000345 38343.902799978954),42725.525,38343.90277743
63916,EAST COAST PARK AREA A3,"4221BD9A7430873C","20250430001322",POINT (103.87743248143501 1.2936133723084362),POINT (32909.49440003395 30666.755799871324),32909.4944,30666.75582113
63917,EAST COAST PARK AREA A,"723444E9134579E5","20250430001322",POINT (103.8695862425583 1.294049543075412),POINT (32036.275300033198 30714.971499872496),32036.27529049,30714.97149999
63918,GREENRIDGE CRESCENT PG,B7E97FAE9B6D40EB,"20250124001423",POINT (103.76576322902989 1.3342797127435926),POINT (20481.796500033517 35163.491299934874),20481.7965,35163.49130952
63919,BINCHANG RISE PG,"78486BAA94B89ED1","20250124001423",POINT (103.84354841240868 1.3486736465480897),POINT (29138.46650003402 36754.997999957006),29138.4665,36754.99798433
63920,PESARI WALK PG,"63FF496CE3397C39","20250124001423",POINT (103.9539785936791 1.3244296378828164),POINT (41428.2570000343 34074.54399991941),41428.25698694,34074.54399999
63921,HAMPSTEAD WETLANDS PARK,D8BE9AA560D15966,"20250124001423",POINT (103.86927945315952 1.4091868197909667),POINT (32001.943900035087 43446.26570005069),32001.9439,43446.26566173
63922,HOLLAND GREEN LINEAR PARK,"9002225B07EE388E","20250124001423",POINT (103.78401697245168 1.327122835043125),POINT (22513.231900034112 34372.071899924675),22513.23186076,34372.07194999
63923,JALAN DERMAWAN PLAYGROUND,"4007D61242DAE7E1","20250124001423",POINT (103.75860584483674 1.36063894564964),POINT (19685.34350003407 38078.18609997643),19685.3435,38078.18610741
63924,ONE-NORTH PARK,"03B216B071ADB52E","20250124001423",POINT (103.79036831078187 1.304278278205548),POINT (23220.02800003456 31846.0242998881),23220.028,31846.02428926
63925,SG API API PK,"0C102BDBE5F61E25","20250124001423",POINT (103.94600303665655 1.3788839697902275),POINT (40540.37650003472 40095.7959000045),40540.3764936,40095.79589998
63926,ANG MO KIO TOWN GARDEN EAST,EAA34FE60E8C8978,"20250124001423",POINT (103.85028589165374 1.370571021887357),POINT (29888.25590003408 39176.30239999171),29888.2559,39176.30243154
63927,TELOK BLANGAH HILL PARK,C3DC37CDAFB3DBBC,"20250124001423",POINT (103.81025373344491 1.2786594119313208),POINT (25433.068100034016 29013.192999848587),25433.06810428,29013.19304999
63928,GREENWOOD CRESCENT PG,"5AB938871CC813AC","20250124001423",POINT (103.80548695379504 1.335506236358292),POINT (24902.633500034153 35299.02829993726),24902.6335,35299.02825961
63929,JLN KAYU PK,"18CE986FB6CF9F2A","20250124001423",POINT (103.87288129000338 1.3981028673365037),POINT (32402.79890003349 42220.66450003405),32402.7989,42220.66451208
63930,CHILTERN DRIVE INTERIM PARK,"29530D601FC935F4","20250124001423",POINT (103.86200639142879 1.3485590553792879),POINT (31192.634200035885 36742.343499956674),31192.63415,36742.3435117
63931,COLCHESTER GROVE INTERIM OS,"2ADFCC27CC79B3AA","20250124001423",POINT (103.86674253718547 1.3564831011965115),POINT (31719.70250003412 37618.550899968686),31719.7025,37618.55089347
63932,PAYA LEBAR ROAD PARK,"0108C0BF73D62290","20250124001423",POINT (103.88858043913334 1.3328488352830017),POINT (34150.06980003465 35005.2378999328),34150.06975,35005.23793965
63933,JAMBOL PLACE PARK,DE3AD3BB9FE0C4DD,"20250124001423",POINT (103.79018535239055 1.27902576189058),POINT (23199.619000034185 29053.73089984998),23199.619,29053.73089397
63934,PENANG RD OS,ED7131A4C5A5E417,"20250124001423",POINT (103.8414938192375 1.3002353872391974),POINT (28909.830800033367 31398.942899882288),28909.8308338,31398.94289999
63935,NERAM CRESCENT PG,BACF551C643D2AC9,"20250124001423",POINT (103.86574410141814 1.3855886003482265),POINT (31608.54450003326 40836.8879000151),31608.5445,40836.88793401
63936,GELENGGANG PARK,AB9D876B84AD72A5,"20250124001423",POINT (103.82983449183553 1.3734758941034504),POINT (27612.26390003388 39497.50199999616),27612.26392914,39497.50199998
63937,FABER HILLS PLAYGROUND,"9354762FC6CBCFD3","20250124001423",POINT (103.75797647582053 1.3197672502528837),POINT (19615.16300003366 33558.8013999127),19615.16295,33558.80142196
63938,BERLAYER CREEK,B2D184C3DAB99616,"20250124001423",POINT (103.80514529311107 1.2677204017218984),POINT (24864.52650003346 27803.61939983187),24864.52645,27803.61937351
63939,PULAU UBIN AND CHEK JAWA,"8169164D05189B81","20250124001423",POINT (103.96541181276811 1.4137521320862656),POINT (42700.11850003345 43951.46200005774),42700.11847633,43951.46205
63940,RAILWAY CORRIDOR RIFLE RANGE CONNECTOR,D928214B0D5DA508,"20250124001423",POINT (103.77932119660633 1.3413819155168811),POINT (21990.67420003391 35948.77959994605),21990.67415,35948.77963848
63941,UPPER SERANGOON PARK,"579231E80A9CAB60","20250124001423",POINT (103.87522575970935 1.35163743855084),POINT (32663.7971000343 37082.75679996158),32663.79710883,37082.75679999
63942,PHOENIX PARK,E9ECE5488CC0013A,"20250124001423",POINT (103.75723986270971 1.3758898083445699),POINT (19533.379000033805 39764.555099999125),19533.379,39764.55508292
63943,ENG KONG PLACE FC,C88329B0B0DA137F,"20250124001423",POINT (103.76724604913917 1.3347392027187428),POINT (20646.820300034124 35214.2948999358),20646.82025238,35214.29494999
63944,GOLDEN RISE PG,"0482012CA11FB93F","20250124001423",POINT (103.76486852005382 1.336323647928206),POINT (20382.23100003344 35389.50209993831),20382.231,35389.5021468
63945,CONNAUGHT DRIVE,"6DD5221DF556BEC4","20250124001423",POINT (103.85327993307943 1.2898550095727748),POINT (30221.5285000338 30251.141499865953),30221.5285,30251.14146354
63946,YARROW PARK,"44A0D5DDC14E6E53","20250124001423",POINT (103.92150194857041 1.3154230233737323),POINT (37813.96200003455 33078.48539990629),37813.96202216,33078.48539999
63947,SIGLAP LINEAR PK (UPP EC RD-M PARADE),"0A2CF07FD29438A8","20250124001423",POINT (103.92840651937104 1.3112841044737598),POINT (38582.39250003386 32620.852599900092),38582.3925,32620.85255149
63948,TANJONG KATONG RD SOUTH PG,"2E0FDA344A723B71","20250124001423",POINT (103.89732193154623 1.3001741105264821),POINT (35123.000000034255 31392.25599988112),35123.0,31392.25603907
63949,JLN BULOH PERINDU PG,FC149224557096B8,"20250124001423",POINT (103.9193844827303 1.30848259749907),POINT (37578.33460003376 32311.039699894543),37578.33455,32311.03969204
63950,MEYER RD PG,C9C5B5866EBE661B,"20250124001423",POINT (103.89419707868943 1.2985685166065415),POINT (34775.23600003284 31214.708999880284),34775.236,31214.70895942
63951,TELOK KURAU PK,CC6E49C46482067F,"20250124001423",POINT (103.91428584740629 1.3153647616260948),POINT (37010.87890003379 33072.01589990657),37010.8789,33072.01591485
63952,ELITE TERRACE PK,"22512B46CE9565EA","20250124001423",POINT (103.92430631411794 1.3155988452066982),POINT (38126.0605000335 33097.938099906816),38126.0605,33097.93805167
63953,SIGLAP LINEAR PK (JLN B'WAN-UPP EC RD),"45A03875319DCC39","20250124001423",POINT (103.92740863602118 1.314379842827124),POINT (38471.324500034585 32963.159699904754),38471.3245,32963.15966257
63954,JALAN REMAJA INTERIM PARK,"1DAD8C155A76156B","20250124001423",POINT (103.760776014894 1.3575783238030446),POINT (19926.84810003433 37739.75049997031),19926.84805,37739.75045823
63955,PAVILION PLAYGROUND II,CC5B115324297200,"20250124001423",POINT (103.75343447476291 1.368340422072448),POINT (19109.858200033963 38929.795399987124),19109.85822549,38929.79544999
63956,CASHEW RD INTERIM PK,"0084B66A2E1B1133","20250124001423",POINT (103.767967114604 1.3724045480241107),POINT (20727.1796000351 39379.137099994114),20727.17956548,39379.13714999
63957,EMPRESS PLACE,"38F1232CE3D8C94E","20250124001423",POINT (103.85213965205668 1.286961584407151),POINT (30094.627300035725 29931.200499861814),30094.6273017,29931.20054999
63958,PEARL'S HILL CITY PK,"1F9B330BFE341F43","20250124001423",POINT (103.83872911197332 1.2845131482921779),POINT (28602.14740003425 29660.457999858278),28602.1473739,29660.45799999
63959,RAFFLES PLACE PK,"974D2078137D5EEA","20250124001423",POINT (103.8514999268154 1.2835942597617673),POINT (30023.433900034124 29558.85859985624),30023.4339,29558.85858669
63960,TELOK AYER PK,"13C92463A62FD1BC","20250124001423",POINT (103.84668683482796 1.2781775055192082),POINT (29487.779600033868 28959.89859984879),29487.7796,28959.89859826
63961,WATERBOAT HOUSE GARDEN,"0B8AF7B723C17B8A","20250124001423",POINT (103.85347304115898 1.287319516339829),POINT (30243.022000033834 29970.779899861598),30243.02195,29970.77990432
63962,ANN SIANG HILL PK,"6BD80B5E1FD2FCDC","20250124001423",POINT (103.84611877493366 1.2810620002543744),POINT (29424.557500034545 29278.85079985248),29424.5575,29278.85084195
63963,THOMSON RD PG,BE71EF9BC072990D,"20250124001423",POINT (103.84370946452388 1.3162599542340396),POINT (29156.404900034937 33170.857999906075),29156.40494582,33170.85804999
63964,MALCOLM PK,"0D1A99F31BABD106","20250124001423",POINT (103.8265184733264 1.3225629270105148),POINT (27243.21600003497 33867.80699991682),27243.21603224,33867.80699999
