"objectid","station_name","exit_code","inc_crc","updated_at","lon","lat","geom_4326","geom_3414"
14579,TANJONG PAGAR MRT STATION,Exit F,"39E16699C1976560","20231019120510",103.84692758023486,1.2773794881071403,POINT (103.84692758023486 1.2773794881071403),POINT (29514.573100033795 28871.65809984666)
14580,TAMPINES EAST MRT STATION,Exit D,"99EACB07EB87275F","20231019120510",103.95571743792196,1.3569701935566743,POINT (103.95571743792196 1.3569701935566743),POINT (41621.59350003568 37672.729899970196)
14581,UPPER CHANGI MRT STATION,Exit B,D12B752513687695,"20231019120510",103.96147626842628,1.3410376791225642,POINT (103.96147626842628 1.3410376791225642),POINT (42262.57930003526 35911.022599945456)
14582,UPPER CHANGI MRT STATION,Exit C,"9EAAA93AC64D4C2B","20231019120510",103.96161727307985,1.3419926673422482,POINT (103.96161727307985 1.3419926673422482),POINT (42278.266100035886 36016.62139994697)
14583,UBI MRT STATION,Exit A,CAE96AD9A152877B,"20231019120510",103.89987669085686,1.3299508282897736,POINT (103.89987669085686 1.3299508282897736),POINT (35407.2342000353 34684.82199992826)
14584,FORT CANNING MRT STATION,Exit A,FC551044CAEAB201,"20231019120510",103.84417003419682,1.2924060955782486,POINT (103.84417003419682 1.2924060955782486),POINT (29207.673200034253 30533.22129986994)
14585,MATTAR MRT STATION,Exit B,"63BE655DB172CD4E","20231019120510",103.88374838731283,1.3264635221670715,POINT (103.88374838731283 1.3264635221670715),POINT (33612.32700003459 34299.17089992282)
14586,BEDOK NORTH MRT STATION,Exit B,"4D84939055694394","20231019120510",103.91913430266187,1.3343724902032656,POINT (103.91913430266187 1.3343724902032656),POINT (37550.39300003358 35173.813399935156)
14587,FORT CANNING MRT STATION,Exit B,AF446178B7F1A586,"20231019120510",103.84442503156531,1.2928302759457175,POINT (103.84442503156531 1.2928302759457175),POINT (29236.052000033316 30580.125099870602)
14588,UBI MRT STATION,Exit B,"7CB7D918F6B5E915","20231019120510",103.89858557091625,1.329830770674731,POINT (103.89858557091625 1.329830770674731),POINT (35263.54610003554 34671.54279992809)
14589,TAMPINES WEST MRT STATION,Exit A,"6F2A56A935D2673D","20231019120510",103.93819674000568,1.3456305876139147,POINT (103.93819674000568 1.3456305876139147),POINT (39671.791900033306 36418.760499952594)
14590,BENDEMEER MRT STATION,Exit B,"5EC1075AF445471C","20231019120510",103.86321923143063,1.3134807250255989,POINT (103.86321923143063 1.3134807250255989),POINT (31327.656800034663 32863.56259990265)
14591,BEDOK NORTH MRT STATION,Exit B,"472D306FE205DA62","20231019120510",103.91906282344867,1.3341660744472075,POINT (103.91906282344867 1.3341660744472075),POINT (37542.43890003431 35150.988699934824)
14592,UPPER CHANGI MRT STATION,Exit A,FC43DB54B0E61973,"20231019120510",103.96096063018997,1.3420065422681042,POINT (103.96096063018997 1.3420065422681042),POINT (42205.18860003397 36018.15179994698)
14593,BEDOK NORTH MRT STATION,Exit A,D120C83FD7AA7B80,"20231019120510",103.91804982398726,1.3351262662136352,POINT (103.91804982398726 1.3351262662136352),POINT (37429.698900034375 35257.15799993632)
14594,JALAN BESAR MRT STATION,Exit B,F845CB06D67E6A83,"20231019120510",103.85524456461457,1.3054672798932725,POINT (103.85524456461457 1.3054672798932725),POINT (30440.160300033494 31977.467799890244)
14595,UPPER THOMSON MRT STATION,Exit 4,"7A835D396BF0703F","20231019120510",103.83379386731406,1.3535030102965167,POINT (103.83379386731406 1.3535030102965167),POINT (28052.894200034643 37289.001999964814)
14596,UPPER THOMSON MRT STATION,Exit 3,A00E2C99CAD73E80,"20231019120510",103.83392459060627,1.3541445663788472,POINT (103.83392459060627 1.3541445663788472),POINT (28067.442200034428 37359.94199996581)
14597,UPPER THOMSON MRT STATION,Exit 5,"2313E9492AA32861","20231019120510",103.83263517825011,1.3544178218637264,POINT (103.83263517825011 1.3544178218637264),POINT (27923.94530003419 37390.15719996625)
14598,UPPER THOMSON MRT STATION,Exit 1,"02A569EE1B9EC73B","20231019120510",103.8319161968925,1.354833644682351,POINT (103.8319161968925 1.354833644682351),POINT (27843.930900034262 37436.13679996689)
14599,UPPER THOMSON MRT STATION,Exit 2,"3EA737829473A972","20231019120510",103.8318330090042,1.3557365747065533,POINT (103.8318330090042 1.3557365747065533),POINT (27834.67310003437 37535.97819996831)
14600,BRIGHT HILL MRT STATION,Exit 3,"2A45076ED986B275","20231019120510",103.83237571105509,1.3621838048498118,POINT (103.83237571105509 1.3621838048498118),POINT (27895.06990003455 38248.879999978286)
14601,BRIGHT HILL MRT STATION,Exit 4,BC4A442B12F99E85,"20231019120510",103.83195382945166,1.3631639565255047,POINT (103.83195382945166 1.3631639565255047),POINT (27848.119500035977 38357.26019997986)
14602,BUKIT PANJANG LRT STATION,Exit D,"0D013B4A269EF17B","20231019120510",103.76325185195583,1.378024102648342,POINT (103.76325185195583 1.378024102648342),POINT (20202.446400034056 40000.534200002905)
14603,BUKIT PANJANG LRT STATION,Exit C,C1FCA2C604034AB0,"20231019120510",103.76272252355642,1.3779279277525465,POINT (103.76272252355642 1.3779279277525465),POINT (20143.538400033478 39989.90140000275)
14604,TAI SENG MRT STATION,Exit B,B121007692C889BF,"20231019120510",103.88821406777215,1.3346208772307528,POINT (103.88821406777215 1.3346208772307528),POINT (34109.292100033344 35201.180399935525)
14605,YISHUN MRT STATION,Exit C,"6A53878C399EA119","20231019120510",103.8350908427129,1.4291168143137056,POINT (103.8350908427129 1.4291168143137056),POINT (28197.226600033402 45649.99320008219)
14606,BUANGKOK MRT STATION,Exit B,"64BE76AD177F77E2","20231019120510",103.89346315223678,1.382649722820209,POINT (103.89346315223678 1.382649722820209),POINT (34693.328200033444 40511.98180001007)
14607,DHOBY GHAUT MRT STATION,Exit D,"94631C7F11FCE747","20231019120510",103.8450301318641,1.29993066561743,POINT (103.8450301318641 1.29993066561743),POINT (29303.390800035682 31365.24989988166)
14608,RAFFLES PLACE MRT STATION,Exit D,BDC3B51F0318BD2C,"20231019120510",103.85135321456237,1.283641390877421,POINT (103.85135321456237 1.283641390877421),POINT (30007.10600003352 29564.069999856336)
14609,RAFFLES PLACE MRT STATION,Exit A,"7908CDF860503E38","20231019120510",103.85143835365814,1.2841251477036855,POINT (103.85143835365814 1.2841251477036855),POINT (30016.580900033416 29617.561399857062)
14610,RAFFLES PLACE MRT STATION,Exit G,"229B46DF8A1250CC","20231019120510",103.85147813199741,1.2850168973017784,POINT (103.85147813199741 1.2850168973017784),POINT (30021.007200034794 29716.166499858486)
14611,RAFFLES PLACE MRT STATION,Exit B,F5DECEDB9FFE5F33,"20231019120510",103.85147997829907,1.2846068745370232,POINT (103.85147997829907 1.2846068745370232),POINT (30021.213000033837 29670.828299857865)
14612,RAFFLES PLACE MRT STATION,Exit E,"40F9660EB1C4C12E","20231019120510",103.8515225951546,1.2832115821243628,POINT (103.8515225951546 1.2832115821243628),POINT (30025.957000033566 29516.544099855702)
14613,RAFFLES PLACE MRT STATION,Exit H,"3363214AF138AD7A","20231019120510",103.85162171586596,1.285258281201247,POINT (103.85162171586596 1.285258281201247),POINT (30036.986700034446 29742.857599858886)
14614,TANJONG PAGAR MRT STATION,Exit D,"8B6F9D10513EFA49","20231019120510",103.84690880020437,1.276064828263426,POINT (103.84690880020437 1.276064828263426),POINT (29512.483800033282 28726.28979984455)
14615,TANJONG PAGAR MRT STATION,Exit C,"44F1B6273F87FEDF","20231019120510",103.84653355796422,1.2760892299950208,POINT (103.84653355796422 1.2760892299950208),POINT (29470.722300033976 28728.98779984463)
14616,TANJONG PAGAR MRT STATION,Exit A,"1052749762F1E1E3","20231019120510",103.84483401420995,1.2764085007399384,POINT (103.84483401420995 1.2764085007399384),POINT (29281.576400034442 28764.29019984511)
14617,TANJONG PAGAR MRT STATION,Exit B,B6A65715434862A9,"20231019120510",103.8465445904738,1.2766717422526974,POINT (103.8465445904738 1.2766717422526974),POINT (29471.94980003423 28793.39899984552)
14618,OUTRAM PARK MRT STATION,Exit 2,E6EE8657F042CAA7,"20231019120510",103.8389348372173,1.2816753456885712,POINT (103.8389348372173 1.2816753456885712),POINT (28625.0436000337 29346.668499853302)
14619,OUTRAM PARK MRT STATION,Exit 1,"9240996FD39C6AB0","20231019120510",103.83865770171187,1.2816024282435041,POINT (103.83865770171187 1.2816024282435041),POINT (28594.200700035082 29338.60559985316)
14620,BUGIS MRT STATION,Exit A,A06B8C4EF9D0D3CF,"20231019120510",103.85592408146064,1.3012040895646393,POINT (103.85592408146064 1.3012040895646393),POINT (30515.788500034174 31506.0667998836)
14621,BUGIS MRT STATION,Exit B,"5BA6737A900E594D","20231019120510",103.85633662767292,1.3007821987656956,POINT (103.85633662767292 1.3007821987656956),POINT (30561.70160003347 31459.416699882975)
14622,CITY HALL MRT STATION,Exit B,"16ABA07E07EB8482","20231019120510",103.8519602177464,1.2930999185799508,POINT (103.8519602177464 1.2930999185799508),POINT (30074.65280003372 30609.945699871)
14623,CITY HALL MRT STATION,Exit A,"762708380AC6662A","20231019120510",103.85302041355058,1.2932271103418318,POINT (103.85302041355058 1.2932271103418318),POINT (30192.643300034382 30624.010799871216)
14624,BUGIS MRT STATION,Exit C,"9A6B839F19EEBCD4","20231019120510",103.85568570391386,1.3000069406998658,POINT (103.85568570391386 1.3000069406998658),POINT (30489.260400033403 31373.691999881783)
14625,DHOBY GHAUT MRT STATION,Exit F,"3DC596781F39163C","20231019120510",103.84584231801777,1.299634891911056,POINT (103.84584231801777 1.299634891911056),POINT (29393.78000003417 31332.54519988122)
14626,DHOBY GHAUT MRT STATION,Exit E,F3513EFAD04F7A68,"20231019120510",103.84537229423007,1.2997484706698177,POINT (103.84537229423007 1.2997484706698177),POINT (29341.47050003353 31345.10389988134)
14627,DHOBY GHAUT MRT STATION,Exit B,BBEA402CB9EF9C2E,"20231019120510",103.84522955892908,1.2990558907089098,POINT (103.84522955892908 1.2990558907089098),POINT (29325.58570003437 31268.52189988029)
